9d34-0b0e049f842142,2,S,[D] Bacteria; [P] Fibrobacteres; [C] Fibrobacteria; [O] Fibrobacterales; [F] Fibrobacteraceae; [G] Fibrobacter; [S] Fibrobacter succinogenes;
bca3-e3c3457c96e61,3,S,[D] Bacteria; [P] Bacteroidetes; [C] Cytophagia; [O] Cytophagales; [F] Cytophagaceae; [G] Leadbetterella; [S] Leadbetterella byssophila;
bca3-e3c3457c96e62,3,S,[D] Bacteria; [P] Bacteroidetes; [C] Cytophagia; [O] Cytophagales; [F] Cytophagaceae; [G] Leadbetterella; [S] Leadbetterella byssophila;
bca3-e3c3457c96e617,3,S,[D] Bacteria; [P] Bacteroidetes; [C] Cytophagia; [O] Cytophagales; [F] Cytophagaceae; [G] Leadbetterella; [S] Leadbetterella byssophila;
bca3-e3c3457c96e618,3,S,[D] Bacteria; [P] Bacteroidetes; [C] Cytophagia; [O] Cytophagales; [F] Cytophagaceae; [G] Leadbetterella; [S] Leadbetterella byssophila;
bca3-e3c3457c96e615,3,S,[D] Bacteria; [P] Bacteroidetes; [C] Cytophagia; [O] Cytophagales; [F] Cytophagaceae; [G] Leadbetterella; [S] Leadbetterella byssophila;
8eff-aca307d35c651,4,S,[D] Bacteria; [P] Bacteroidetes; [C] Bacteroidia; [O] Bacteroidales; [F] Muribaculaceae; [G] Muribaculum; [S] Muribaculum sp. TLL-A4;
8eff-aca307d35c6524,4,S,[D] Bacteria; [P] Bacteroidetes; [C] Bacteroidia; [O] Bacteroidales; [F] Muribaculaceae; [G] Muribaculum; [S] Muribaculum sp. TLL-A4;
bf97-a9ae99b67a131,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
bf97-a9ae99b67a133,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
bf97-a9ae99b67a138,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
bf97-a9ae99b67a139,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
97a3-09de9050da606,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
9616-b72be9af136f1,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
9616-b72be9af136f7,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
a96b-b8f554e762e413,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
a96b-b8f554e762e414,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
a96b-b8f554e762e421,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
a96b-b8f554e762e424,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
862f-6a830d407d871,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
862f-6a830d407d872,4,G,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Capnocytophaga;
